status,family,opcode_hex,mnemonic,address_mode,documented_cycles_wdc,visual6502_timing_path,has_page_cross_variant,has_branch_variant,read_write_pattern,implementation_owner,source_confidence,notes
planned,nop,A3,NOP,IMP,1,prefetch();,no,no,internal,backlog,high (mame opcode map),mame_handler=nop_c_imp; cmos-path handler; cycles_source=mame_seq_derived
implemented,load,A4,LDY,ZPG,3,TMP = read_pc(); ; PC++; ; Y = read(TMP); ; set_nz(Y); ; prefetch();,no,no,read,Cpu65c02Opcode/Cpu65c02Microcode/CpuExecutionPlanner,high (mame opcode map),mame_handler=ldy_zpg; cycles_source=mame_seq_derived; micro-queued in scheduler
implemented,load,A5,LDA,ZPG,3,TMP = read_pc(); ; PC++; ; A = read(TMP); ; set_nz(A); ; prefetch();,no,no,read,Cpu65c02Opcode/Cpu65c02Microcode/CpuExecutionPlanner,high (mame opcode map),mame_handler=lda_zpg; cycles_source=mame_seq_derived; micro-queued in scheduler
implemented,load,A6,LDX,ZPG,3,TMP = read_pc(); ; PC++; ; X = read(TMP); ; set_nz(X); ; prefetch();,no,no,read,Cpu65c02Opcode/Cpu65c02Microcode/CpuExecutionPlanner,high (mame opcode map),mame_handler=ldx_zpg; cycles_source=mame_seq_derived; micro-queued in scheduler
planned,nop,A7,NOP,IMP,1,prefetch();,no,no,internal,backlog,high (mame opcode map),mame_handler=nop_c_imp; cmos-path handler; cycles_source=mame_seq_derived
planned,transfer,A8,TAY,IMP,2,read_pc(); ; Y = A; ; set_nz(Y); ; prefetch();,no,no,internal,backlog,high (mame opcode map),mame_handler=tay_imp; cycles_source=mame_seq_derived
implemented,load,A9,LDA,IMM,2,A = read_pc(); ; PC++; ; set_nz(A); ; prefetch();,no,no,read,Cpu65c02Opcode/Cpu65c02Microcode/CpuExecutionPlanner,high (mame opcode map),mame_handler=lda_imm; cycles_source=mame_seq_derived; micro-queued in scheduler
planned,transfer,AA,TAX,IMP,2,read_pc(); ; X = A; ; set_nz(X); ; prefetch();,no,no,internal,backlog,high (mame opcode map),mame_handler=tax_imp; cycles_source=mame_seq_derived
planned,nop,AB,NOP,IMP,1,prefetch();,no,no,internal,backlog,high (mame opcode map),mame_handler=nop_c_imp; cmos-path handler; cycles_source=mame_seq_derived
implemented,load,AC,LDY,ABS,4,"TMP = read_pc(); ; PC++; ; TMP = set_h(TMP, read_pc()); ; PC++; ; Y = read(TMP); ; set_nz(Y); ; prefetch();",no,no,read,Cpu65c02Opcode/Cpu65c02Microcode/CpuExecutionPlanner,high (mame opcode map),mame_handler=ldy_aba; cycles_source=mame_seq_derived; micro-queued in scheduler
implemented,load,AD,LDA,ABS,4,"TMP = read_pc(); ; PC++; ; TMP = set_h(TMP, read_pc()); ; PC++; ; A = read(TMP); ; set_nz(A); ; prefetch();",no,no,read,Cpu65c02Opcode/Cpu65c02Microcode/CpuExecutionPlanner,high (mame opcode map),mame_handler=lda_aba; cycles_source=mame_seq_derived; micro-queued in scheduler
implemented,load,AE,LDX,ABS,4,"TMP = read_pc(); ; PC++; ; TMP = set_h(TMP, read_pc()); ; PC++; ; X = read(TMP); ; set_nz(X); ; prefetch();",no,no,read,Cpu65c02Opcode/Cpu65c02Microcode/CpuExecutionPlanner,high (mame opcode map),mame_handler=ldx_aba; cycles_source=mame_seq_derived; micro-queued in scheduler
planned,nop,AF,NOP,IMP,1,prefetch();,no,no,internal,backlog,high (mame opcode map),mame_handler=nop_c_imp; cmos-path handler; cycles_source=mame_seq_derived
planned,control,B0,BCS,REL,1/3,"TMP = read_pc(); ; PC++; ; if(P & F_C) { ; read_pc(); ; if(page_changing(PC, int8_t(TMP))) { ; read_arg(set_l(PC, PC+int8_t(TMP))); ; PC += int8_t(TMP); ; prefetch();",mode-dependent,yes,control-flow,backlog,high (mame opcode map),mame_handler=bcs_rel; cycles_source=mame_seq_derived
implemented,load,B1,LDA,IND_Y,3/6,"TMP2 = read_pc(); ; PC++; ; TMP = read(TMP2); ; TMP = set_h(TMP, read((TMP2+1) & 0xff)); ; if(page_changing(TMP, Y)) { ; read(set_l(TMP, TMP+Y)); ; A = read(TMP+Y); ; set_nz(A); ; prefetch();",mode-dependent,no,read,Cpu65c02Opcode/Cpu65c02Microcode/CpuExecutionPlanner,high (mame opcode map),mame_handler=lda_idy; cycles_source=mame_seq_derived; micro-queued in scheduler
implemented,load,B2,LDA,ZPG_IND,5,"TMP2 = read_pc(); ; PC++; ; TMP = read(TMP2 & 0xff); ; TMP = set_h(TMP, read((TMP2+1) & 0xff)); ; A = read(TMP); ; set_nz(A); ; prefetch();",no,no,read,Cpu65c02Opcode/Cpu65c02Microcode/CpuExecutionPlanner,high (mame opcode map),mame_handler=lda_zpi; cycles_source=mame_seq_derived; micro-queued in scheduler
planned,nop,B3,NOP,IMP,1,prefetch();,no,no,internal,backlog,high (mame opcode map),mame_handler=nop_c_imp; cmos-path handler; cycles_source=mame_seq_derived
implemented,load,B4,LDY,ZPG_X,4,TMP = read_pc(); ; PC++; ; read(TMP); ; Y = read(uint8_t(TMP+X)); ; set_nz(Y); ; prefetch();,no,no,read,Cpu65c02Opcode/Cpu65c02Microcode/CpuExecutionPlanner,high (mame opcode map),mame_handler=ldy_zpx; cycles_source=mame_seq_derived; micro-queued in scheduler
implemented,load,B5,LDA,ZPG_X,4,TMP = read_pc(); ; PC++; ; read(TMP); ; A = read(uint8_t(TMP+X)); ; set_nz(A); ; prefetch();,no,no,read,Cpu65c02Opcode/Cpu65c02Microcode/CpuExecutionPlanner,high (mame opcode map),mame_handler=lda_zpx; cycles_source=mame_seq_derived; micro-queued in scheduler
implemented,load,B6,LDX,ZPG_Y,4,TMP = read_pc(); ; PC++; ; read(TMP); ; X = read(uint8_t(TMP+Y)); ; set_nz(X); ; prefetch();,no,no,read,Cpu65c02Opcode/Cpu65c02Microcode/CpuExecutionPlanner,high (mame opcode map),mame_handler=ldx_zpy; cycles_source=mame_seq_derived; micro-queued in scheduler
planned,nop,B7,NOP,IMP,1,prefetch();,no,no,internal,backlog,high (mame opcode map),mame_handler=nop_c_imp; cmos-path handler; cycles_source=mame_seq_derived
planned,flags,B8,CLV,IMP,2,read_pc(); ; P &= ~F_V; ; prefetch();,no,no,internal,backlog,high (mame opcode map),mame_handler=clv_imp; cycles_source=mame_seq_derived
implemented,load,B9,LDA,ABS_Y,2/5,"TMP = read_pc(); ; PC++; ; TMP = set_h(TMP, read_pc()); ; PC++; ; if(page_changing(TMP, Y)) { ; read(set_l(TMP, TMP+Y)); ; A = read(TMP + Y); ; set_nz(A); ; prefetch();",mode-dependent,no,read,Cpu65c02Opcode/Cpu65c02Microcode/CpuExecutionPlanner,high (mame opcode map),mame_handler=lda_aby; cycles_source=mame_seq_derived; micro-queued in scheduler
planned,transfer,BA,TSX,IMP,2,read_pc(); ; X = SP; ; set_nz(X); ; prefetch();,no,no,internal,backlog,high (mame opcode map),mame_handler=tsx_imp; cycles_source=mame_seq_derived
planned,nop,BB,NOP,IMP,1,prefetch();,no,no,internal,backlog,high (mame opcode map),mame_handler=nop_c_imp; cmos-path handler; cycles_source=mame_seq_derived
implemented,load,BC,LDY,ABS_X,2/5,"TMP = read_pc(); ; PC++; ; TMP = set_h(TMP, read_pc()); ; PC++; ; if(page_changing(TMP, X)) { ; read(set_l(TMP, TMP+X)); ; TMP += X; ; Y = read(TMP); ; set_nz(Y); ; prefetch();",mode-dependent,no,read,Cpu65c02Opcode/Cpu65c02Microcode/CpuExecutionPlanner,high (mame opcode map),mame_handler=ldy_abx; cycles_source=mame_seq_derived; micro-queued in scheduler
implemented,load,BD,LDA,ABS_X,2/5,"TMP = read_pc(); ; PC++; ; TMP = set_h(TMP, read_pc()); ; PC++; ; if(page_changing(TMP, X)) { ; read(set_l(TMP, TMP+X)); ; A = read(TMP + X); ; set_nz(A); ; prefetch();",mode-dependent,no,read,Cpu65c02Opcode/Cpu65c02Microcode/CpuExecutionPlanner,high (mame opcode map),mame_handler=lda_abx; cycles_source=mame_seq_derived; micro-queued in scheduler
implemented,load,BE,LDX,ABS_Y,2/5,"TMP = read_pc(); ; PC++; ; TMP = set_h(TMP, read_pc()); ; PC++; ; if(page_changing(TMP, Y)) { ; read(set_l(TMP, TMP+Y)); ; X = read(TMP + Y); ; set_nz(X); ; prefetch();",mode-dependent,no,read,Cpu65c02Opcode/Cpu65c02Microcode/CpuExecutionPlanner,high (mame opcode map),mame_handler=ldx_aby; cycles_source=mame_seq_derived; micro-queued in scheduler
planned,nop,BF,NOP,IMP,1,prefetch();,no,no,internal,backlog,high (mame opcode map),mame_handler=nop_c_imp; cmos-path handler; cycles_source=mame_seq_derived
implemented,alu,C0,CPY,IMM,2,"TMP = read_pc(); ; PC++; ; do_cmp(Y, TMP); ; prefetch();",no,no,read,Cpu65c02Opcode/Cpu65c02Microcode/CpuExecutionPlanner,high (mame opcode map),mame_handler=cpy_imm; cycles_source=mame_seq_derived; micro-queued in scheduler
implemented,alu,C1,CMP,IND_X,6,"TMP2 = read_pc(); ; PC++; ; read(TMP2); ; TMP2 += X; ; TMP = read(TMP2 & 0xff); ; TMP = set_h(TMP, read((TMP2+1) & 0xff)); ; TMP2 = read(TMP); ; do_cmp(A, TMP2); ; prefetch();",no,no,read,Cpu65c02Opcode/Cpu65c02Microcode/CpuExecutionPlanner,high (mame opcode map),mame_handler=cmp_idx; cycles_source=mame_seq_derived; micro-queued in scheduler
planned,nop,C2,NOP,IMM,2,read_pc(); ; PC++; ; prefetch();,no,no,read,backlog,high (mame opcode map),mame_handler=nop_imm; cycles_source=mame_seq_derived
planned,nop,C3,NOP,IMP,1,prefetch();,no,no,internal,backlog,high (mame opcode map),mame_handler=nop_c_imp; cmos-path handler; cycles_source=mame_seq_derived
implemented,alu,C4,CPY,ZPG,3,"TMP = read_pc(); ; PC++; ; TMP2 = read(TMP); ; do_cmp(Y, TMP2); ; prefetch();",no,no,read,Cpu65c02Opcode/Cpu65c02Microcode/CpuExecutionPlanner,high (mame opcode map),mame_handler=cpy_zpg; cycles_source=mame_seq_derived; micro-queued in scheduler
implemented,alu,C5,CMP,ZPG,3,"TMP = read_pc(); ; PC++; ; TMP2 = read(TMP); ; do_cmp(A, TMP2); ; prefetch();",no,no,read,Cpu65c02Opcode/Cpu65c02Microcode/CpuExecutionPlanner,high (mame opcode map),mame_handler=cmp_zpg; cycles_source=mame_seq_derived; micro-queued in scheduler
