opcode_hex,cmd_class,cmd_expected_mnemonic,cmd_expected_bytes,cmd_expected_cycles,cmd_source_note,java_mnemonic,java_mode,java_bytes,java_cycles,mnemonic_match,bytes_match,cycles_match,overall
0D,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,ORA,ABS,3,4,n/a,n/a,n/a,n/a
0E,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,ASL,ABS,3,6,n/a,n/a,n/a,n/a
0F,invalid_opcode_table_v,NOP,1,1,invalid->NOP (X3/X7/XB/XF),NOP,IMP,1,1,yes,yes,yes,match
10,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,BPL,REL,2,2,n/a,n/a,n/a,n/a
11,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,ORA,IND_Y,2,5,n/a,n/a,n/a,n/a
12,invalid_opcode_table_v,NOP,2,2,invalid->NOP (X2),ORA,ZPG_IND,2,5,no,yes,no,mismatch
13,invalid_opcode_table_v,NOP,1,1,invalid->NOP (X3/X7/XB/XF),NOP,IMP,1,1,yes,yes,yes,match
14,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,TRB,ZPG,2,5,n/a,n/a,n/a,n/a
15,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,ORA,ZPG_X,2,4,n/a,n/a,n/a,n/a
16,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,ASL,ZPG_X,2,6,n/a,n/a,n/a,n/a
17,invalid_opcode_table_v,NOP,1,1,invalid->NOP (X3/X7/XB/XF),NOP,IMP,1,1,yes,yes,yes,match
18,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,CLC,IMP,1,2,n/a,n/a,n/a,n/a
19,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,ORA,ABS_Y,3,4,n/a,n/a,n/a,n/a
1A,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,INA,ACC,1,2,n/a,n/a,n/a,n/a
1B,invalid_opcode_table_v,NOP,1,1,invalid->NOP (X3/X7/XB/XF),NOP,IMP,1,1,yes,yes,yes,match
1C,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,TRB,ABS,3,6,n/a,n/a,n/a,n/a
1D,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,ORA,ABS_X,3,4,n/a,n/a,n/a,n/a
1E,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,ASL,ABS_X,3,6,n/a,n/a,n/a,n/a
1F,invalid_opcode_table_v,NOP,1,1,invalid->NOP (X3/X7/XB/XF),NOP,IMP,1,1,yes,yes,yes,match
20,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,JSR,ABS,3,6,n/a,n/a,n/a,n/a
21,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,AND,IND_X,2,6,n/a,n/a,n/a,n/a
22,invalid_opcode_table_v,NOP,2,2,invalid->NOP (X2),NOP,IMP,2,2,yes,yes,yes,match
23,invalid_opcode_table_v,NOP,1,1,invalid->NOP (X3/X7/XB/XF),NOP,IMP,1,1,yes,yes,yes,match
24,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,BIT,ZPG,2,3,n/a,n/a,n/a,n/a
25,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,AND,ZPG,2,3,n/a,n/a,n/a,n/a
26,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,ROL,ZPG,2,5,n/a,n/a,n/a,n/a
27,invalid_opcode_table_v,NOP,1,1,invalid->NOP (X3/X7/XB/XF),NOP,IMP,1,1,yes,yes,yes,match
28,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,PLP,IMP,1,4,n/a,n/a,n/a,n/a
29,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,AND,IMM,2,2,n/a,n/a,n/a,n/a
2A,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,ROL,ACC,1,2,n/a,n/a,n/a,n/a
2B,invalid_opcode_table_v,NOP,1,1,invalid->NOP (X3/X7/XB/XF),NOP,IMP,1,1,yes,yes,yes,match
