opcode_hex,cmd_class,cmd_expected_mnemonic,cmd_expected_bytes,cmd_expected_cycles,cmd_source_note,java_mnemonic,java_mode,java_bytes,java_cycles,mnemonic_match,bytes_match,cycles_match,overall
94,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,STY,ZPG_X,2,4,n/a,n/a,n/a,n/a
95,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,STA,ZPG_X,2,4,n/a,n/a,n/a,n/a
96,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,STX,ZPG_Y,2,4,n/a,n/a,n/a,n/a
97,invalid_opcode_table_v,NOP,1,1,invalid->NOP (X3/X7/XB/XF),NOP,IMP,1,1,yes,yes,yes,match
98,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,TYA,IMP,1,2,n/a,n/a,n/a,n/a
99,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,STA,ABS_Y,3,5,n/a,n/a,n/a,n/a
9A,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,TXS,IMP,1,2,n/a,n/a,n/a,n/a
9B,invalid_opcode_table_v,NOP,1,1,invalid->NOP (X3/X7/XB/XF),NOP,IMP,1,1,yes,yes,yes,match
9C,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,STZ,ABS,3,4,n/a,n/a,n/a,n/a
9D,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,STA,ABS_X,3,5,n/a,n/a,n/a,n/a
9E,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,STZ,ABS_X,3,5,n/a,n/a,n/a,n/a
9F,invalid_opcode_table_v,NOP,1,1,invalid->NOP (X3/X7/XB/XF),NOP,IMP,1,1,yes,yes,yes,match
A0,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,LDY,IMM,2,2,n/a,n/a,n/a,n/a
A1,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,LDA,IND_X,2,6,n/a,n/a,n/a,n/a
A2,invalid_opcode_table_v,NOP,2,2,invalid->NOP (X2),LDX,IMM,2,2,no,yes,yes,mismatch
A3,invalid_opcode_table_v,NOP,1,1,invalid->NOP (X3/X7/XB/XF),NOP,IMP,1,1,yes,yes,yes,match
