status,family,opcode_hex,mnemonic,address_mode,documented_cycles_wdc,visual6502_timing_path,has_page_cross_variant,has_branch_variant,read_write_pattern,implementation_owner,source_confidence,notes
planned,misc,CF,DCP,ABS,6,"TMP = read_pc(); ; PC++; ; TMP = set_h(TMP, read_pc()); ; PC++; ; TMP2 = read(TMP); ; write(TMP, TMP2); ; TMP2--; ; write(TMP, TMP2); ; do_cmp(A, TMP2); ; prefetch();",no,no,read,,high (mame opcode map),mame_handler=dcp_aba; cycles_source=mame_seq_derived
planned,control,D0,BNE,REL,1/3,"TMP = read_pc(); ; PC++; ; if(!(P & F_Z)) { ; read_pc(); ; if(page_changing(PC, int8_t(TMP))) { ; read_arg(set_l(PC, PC+int8_t(TMP))); ; PC += int8_t(TMP); ; prefetch();",mode-dependent,yes,control-flow,,high (mame opcode map),mame_handler=bne_rel; cycles_source=mame_seq_derived
in_progress,alu,D1,CMP,IND_Y,3/6,"TMP2 = read_pc(); ; PC++; ; TMP = read(TMP2); ; TMP = set_h(TMP, read((TMP2+1) & 0xff)); ; if(page_changing(TMP, Y)) { ; read(set_l(TMP, TMP+Y)); ; TMP2 = read(TMP+Y); ; do_cmp(A, TMP2); ; prefetch();",mode-dependent,no,read,,high (mame opcode map),mame_handler=cmp_idy; cycles_source=mame_seq_derived
planned,nop,D2,KIL,NON,4+,read_pc(); ; PC++; ; read(0xffff); ; read(0xfffe); ; read(0xfffe); ; for(;;) { ; read(0xffff);,no,no,internal/illegal,,high (mame opcode map),mame_handler=kil_non; cycles_source=mame_seq_derived
planned,misc,D3,DCP,IND_Y,8,"TMP2 = read_pc(); ; PC++; ; TMP = read(TMP2); ; TMP = set_h(TMP, read((TMP2+1) & 0xff)); ; read(set_l(TMP, TMP+Y)); ; TMP += Y; ; TMP2 = read(TMP); ; write(TMP, TMP2); ; TMP2--; ; write(TMP, TMP2); ; do_cmp(A, TMP2); ; prefetch();",mode-dependent,no,read,,high (mame opcode map),mame_handler=dcp_idy; cycles_source=mame_seq_derived
planned,nop,D4,NOP,ZPG_X,4,TMP = read_pc(); ; PC++; ; read(TMP); ; read(uint8_t(TMP+X)); ; prefetch();,no,no,read,,high (mame opcode map),mame_handler=nop_zpx; cycles_source=mame_seq_derived
in_progress,alu,D5,CMP,ZPG_X,4,"TMP = read_pc(); ; PC++; ; read(TMP); ; TMP2 = read(uint8_t(TMP+X)); ; do_cmp(A, TMP2); ; prefetch();",no,no,read,,high (mame opcode map),mame_handler=cmp_zpx; cycles_source=mame_seq_derived
planned,inc_dec,D6,DEC,ZPG_X,6,"TMP = read_pc(); ; PC++; ; read(TMP); ; TMP = uint8_t(TMP+X); ; TMP2 = read(TMP); ; write(TMP, TMP2); ; TMP2--; ; set_nz(TMP2); ; write(TMP, TMP2); ; prefetch();",no,no,read-modify-write,,high (mame opcode map),mame_handler=dec_zpx; cycles_source=mame_seq_derived
planned,misc,D7,DCP,ZPG_X,6,"TMP = read_pc(); ; PC++; ; read(TMP); ; TMP = uint8_t(TMP+X); ; TMP2 = read(TMP); ; write(TMP, TMP2); ; TMP2--; ; write(TMP, TMP2); ; do_cmp(A, TMP2); ; prefetch();",no,no,read,,high (mame opcode map),mame_handler=dcp_zpx; cycles_source=mame_seq_derived
planned,flags,D8,CLD,IMP,2,read_pc(); ; P &= ~F_D; ; prefetch();,no,no,internal,,high (mame opcode map),mame_handler=cld_imp; cycles_source=mame_seq_derived
in_progress,alu,D9,CMP,ABS_Y,2/5,"TMP = read_pc(); ; PC++; ; TMP = set_h(TMP, read_pc()); ; PC++; ; if(page_changing(TMP, Y)) { ; read(set_l(TMP, TMP+Y)); ; TMP += Y; ; TMP2 = read(TMP); ; do_cmp(A, TMP2); ; prefetch();",mode-dependent,no,read,,high (mame opcode map),mame_handler=cmp_aby; cycles_source=mame_seq_derived
planned,nop,DA,NOP,IMP,2,read_pc(); ; prefetch();,no,no,internal,,high (mame opcode map),mame_handler=nop_imp; cycles_source=mame_seq_derived
