opcode,MOS_M6502,Rockwell_R6502,Rockwell_R65C02,CMD_G65SC02,GTE_G65SC802,GTE_G65SC816,WDC_W65C02S,WDC_W65C816S,MOS_6502A,MOS_6504,MOS_6507,MOS_6510,MOS_8500,MOS_8502,MOS_6512,MOS_7501,MOS_8501,Rockwell_R65C02P4,Synertek_SY6502,Ricoh_2A03,Ricoh_2A07,Hudson_HuC6280,WDC_65C02,WDC_65SC02,WDC_65C816,MOS_6503,MOS_6508,MOS_6509,MOS_6510T,CSG_65CE02,MOS_4510,GTE_G65SC12,GTE_G65SC102,GTE_G65SC112,Rockwell_R65C19,Rockwell_L2800,Ricoh_RP2A03G,Mitsubishi_M740,MOS_6500_1,Rockwell_R65C102,Rockwell_R65C112,Ricoh_RP2A03_CORE,Mitsubishi_M37450,Mitsubishi_M37640,Mitsubishi_M50734,Mitsubishi_M50740,Mitsubishi_M50741,Mitsubishi_M50753,DataEast_DECO16,Sitronix_ST2202,Sitronix_ST2204,Sitronix_ST2205U,Sitronix_ST2302U,XaviX_SSD97_98,XaviX_SSD2000,XaviX_SSD2002,Yamaha_GEW7,Yamaha_GEW12,VT3XX_SPU
B8,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV,CLV
B9,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA
BA,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX,TSX
BB,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV
BC,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY,LDY
BD,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA,LDA
BE,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX,LDX
BF,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV
C0,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY
C1,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP
C2,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV
C3,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV
C4,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY
C5,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP
C6,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC
C7,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV
C8,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY,INY
C9,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP
CA,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX
CB,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV
CC,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY,CPY
CD,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP
CE,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC
CF,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV
D0,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE,BNE
D1,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP
D2,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV
D3,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV
D4,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV
D5,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP
D6,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC
D7,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV
D8,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD,CLD
D9,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP
DA,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV
DB,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV
DC,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV
DD,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP
DE,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC
DF,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV
E0,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX
E1,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC
E2,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV
E3,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV
E4,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX
E5,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC
E6,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC
E7,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV
E8,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX,INX
E9,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC
EA,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP
EB,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV
EC,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX,CPX
ED,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC
EE,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC
EF,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV
F0,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ,BEQ
F1,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC
F2,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV
F3,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV
F4,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV
F5,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC,SBC
