opcode_hex,rockwell_token,wdc_token,rockwell_normalized,wdc_normalized,raw_equal,normalized_equal
1D,ora_abx,ora_s_abx,ora_abx,ora_abx,no,yes
1E,asl_c_abx,asl_s_abx,asl_abx,asl_abx,no,yes
1F,bbr_zpb,bbr_zpb,bbr_zpb,bbr_zpb,yes,yes
20,jsr_adr,jsr_adr,jsr_adr,jsr_adr,yes,yes
21,and_idx,and_s_idx,and_idx,and_idx,no,yes
22,nop_imm,nop_imm,nop_imm,nop_imm,yes,yes
23,nop_c_imp,nop_c_imp,nop_imp,nop_imp,yes,yes
24,bit_zpg,bit_zpg,bit_zpg,bit_zpg,yes,yes
25,and_zpg,and_zpg,and_zpg,and_zpg,yes,yes
26,rol_c_zpg,rol_s_zpg,rol_zpg,rol_zpg,no,yes
27,rmb_bzp,rmb_bzp,rmb_bzp,rmb_bzp,yes,yes
28,plp_imp,plp_s_imp,plp_imp,plp_imp,no,yes
29,and_imm,and_imm,and_imm,and_imm,yes,yes
2A,rol_acc,rol_acc,rol_acc,rol_acc,yes,yes
2B,nop_c_imp,nop_c_imp,nop_imp,nop_imp,yes,yes
2C,bit_aba,bit_aba,bit_aba,bit_aba,yes,yes
2D,and_aba,and_aba,and_aba,and_aba,yes,yes
2E,rol_c_aba,rol_c_aba,rol_aba,rol_aba,yes,yes
2F,bbr_zpb,bbr_zpb,bbr_zpb,bbr_zpb,yes,yes
30,bmi_rel,bmi_rel,bmi_rel,bmi_rel,yes,yes
31,and_idy,and_s_idy,and_idy,and_idy,no,yes
32,and_zpi,and_zpi,and_zpi,and_zpi,yes,yes
33,nop_c_imp,nop_c_imp,nop_imp,nop_imp,yes,yes
34,bit_zpx,bit_s_zpx,bit_zpx,bit_zpx,no,yes
35,and_zpx,and_s_zpx,and_zpx,and_zpx,no,yes
36,rol_c_zpx,rol_s_zpx,rol_zpx,rol_zpx,no,yes
37,rmb_bzp,rmb_bzp,rmb_bzp,rmb_bzp,yes,yes
38,sec_imp,sec_imp,sec_imp,sec_imp,yes,yes
39,and_aby,and_s_aby,and_aby,and_aby,no,yes
3A,dec_acc,dec_acc,dec_acc,dec_acc,yes,yes
3B,nop_c_imp,nop_c_imp,nop_imp,nop_imp,yes,yes
3C,bit_abx,bit_s_abx,bit_abx,bit_abx,no,yes
